item_id,movie_title,release_year,genre
0,[PAD],[PAD],
1,One Flew Over the Cuckoo's Nest,1975,Drama
2,James and the Giant Peach,1996,Animation Children's Musical
3,My Fair Lady,1964,Musical Romance
4,Erin Brockovich,2000,Drama
5,"Bug's Life, A",1998,Animation Children's Comedy
6,"Princess Bride, The",1987,Action Adventure Comedy Romance
7,Ben-Hur,1959,Action Adventure Drama
8,"Christmas Story, A",1983,Comedy Drama
9,Snow White and the Seven Dwarfs,1937,Animation Children's Musical
10,"Wizard of Oz, The",1939,Adventure Children's Drama Musical
11,Beauty and the Beast,1991,Animation Children's Musical
12,Gigi,1958,Musical
13,Miracle on 34th Street,1947,Drama
14,Ferris Bueller's Day Off,1986,Comedy
15,"Sound of Music, The",1965,Musical
16,Airplane!,1980,Comedy
17,Tarzan,1999,Animation Children's
18,Bambi,1942,Animation Children's
19,Awakenings,1990,Drama
20,Big,1988,Comedy Fantasy
21,Pleasantville,1998,Comedy
22,Wallace & Gromit: The Best of Aardman Animation,1996,Animation
23,Back to the Future,1985,Comedy Sci-Fi
24,Schindler's List,1993,Drama War
25,Meet Joe Black,1998,Romance
26,Pocahontas,1995,Animation Children's Musical Romance
27,E.T. the Extra-Terrestrial,1982,Children's Drama Fantasy Sci-Fi
28,Titanic,1997,Drama Romance
29,Ponette,1996,Drama
30,"Close Shave, A",1995,Animation Comedy Thriller
31,Antz,1998,Animation Children's
32,"Girl, Interrupted",1999,Drama
33,Hercules,1997,Adventure Animation Children's Comedy Musical
34,Aladdin,1992,Animation Children's Comedy Musical
35,Mulan,1998,Animation Children's
36,"Hunchback of Notre Dame, The",1996,Animation Children's Musical
37,"Last Days of Disco, The",1998,Drama
38,Cinderella,1950,Animation Children's Musical
39,"Sixth Sense, The",1999,Thriller
40,Apollo 13,1995,Drama
41,Toy Story,1995,Animation Children's Comedy
42,Rain Man,1988,Drama
43,Driving Miss Daisy,1989,Drama
44,Run Lola Run,Lola rennt,Action Crime Romance
45,Star Wars: Episode IV - A New Hope,1977,Action Adventure Fantasy Sci-Fi
46,Mary Poppins,1964,Children's Comedy Musical
47,Dumbo,1941,Animation Children's Musical
48,To Kill a Mockingbird,1962,Drama
49,Saving Private Ryan,1998,Action Drama War
50,"Secret Garden, The",1993,Children's Drama
51,Toy Story 2,1999,Animation Children's Comedy
52,Fargo,1996,Crime Drama Thriller
53,Dead Poets Society,1989,Drama
54,Shine,1996,Drama Romance
55,"Verdict, The",1982,Drama
56,Shall We Dance?,Shall We Dansu?,Comedy
57,Courage Under Fire,1996,Drama War
58,"Untouchables, The",1987,Action Crime Drama
59,Mission: Impossible,1996,Action Adventure Mystery
60,"Few Good Men, A",1992,Crime Drama
61,Star Wars: Episode I - The Phantom Menace,1999,Action Adventure Fantasy Sci-Fi
62,Rebel Without a Cause,1955,Drama
63,Total Recall,1990,Action Adventure Sci-Fi Thriller
64,"Hustler, The",1961,Drama
65,Star Wars: Episode VI - Return of the Jedi,1983,Action Adventure Romance Sci-Fi War
66,U.S. Marshalls,1998,Action Thriller
67,"Jackal, The",1997,Action Thriller
68,GoodFellas,1990,Crime Drama
69,Gladiator,2000,Action Drama
70,Double Jeopardy,1999,Action Thriller
71,Yojimbo,1961,Comedy Drama Western
72,Ran,1985,Drama War
73,Cliffhanger,1993,Action Adventure Crime
74,Snake Eyes,1998,Action Crime Mystery Thriller
75,Backdraft,1991,Action Drama
76,"Fisher King, The",1991,Comedy Drama Romance
77,Mister Roberts,1955,Comedy Drama War
78,"Day the Earth Stood Still, The",1951,Drama Sci-Fi
79,"Hunt for Red October, The",1990,Action Thriller
80,Outbreak,1995,Action Drama Thriller
81,Simon Birch,1998,Drama
82,Stand and Deliver,1987,Drama
83,Breakfast at Tiffany's,1961,Drama Romance
84,Maverick,1994,Action Comedy Western
85,Stand by Me,1986,Adventure Comedy Drama
86,"Green Mile, The",1999,Drama Thriller
87,"Lost World: Jurassic Park, The",1997,Action Adventure Sci-Fi Thriller
88,Gandhi,1982,Drama
89,Strictly Ballroom,1992,Comedy Romance
90,"League of Their Own, A",1992,Comedy Drama
91,Patriot Games,1992,Action Thriller
92,"Bodyguard, The",1992,Action Drama Romance Thriller
93,Braveheart,1995,Action Drama War
94,Ronin,1998,Action Crime Thriller
95,Payback,1999,Action Thriller
96,"Spanish Prisoner, The",1997,Drama Thriller
97,Close Encounters of the Third Kind,1977,Drama Sci-Fi
98,Terminator 2: Judgment Day,1991,Action Sci-Fi Thriller
99,Alien: Resurrection,1997,Action Horror Sci-Fi
100,"Guns of Navarone, The",1961,Action Drama War
101,"Soldier's Story, A",1984,Drama
102,On the Waterfront,1954,Crime Drama
103,Picnic,1955,Drama
104,"Misérables, Les",1998,Drama
105,American Beauty,1999,Comedy Drama
106,Amadeus,1984,Drama
107,"Remains of the Day, The",1993,Drama
108,Demolition Man,1993,Action Sci-Fi
109,Children of a Lesser God,1986,Drama
110,Like Water for Chocolate,Como agua para chocolate,Drama Romance
111,"Last of the Mohicans, The",1992,Action Romance War
112,Bonnie and Clyde,1967,Crime Drama
113,Starman,1984,Adventure Drama Romance Sci-Fi
114,Jurassic Park,1993,Action Adventure Sci-Fi
115,Prefontaine,1997,Drama
116,Doctor Zhivago,1965,Drama Romance War
117,Groundhog Day,1993,Comedy Romance
118,Die Hard 2,1990,Action Thriller
119,"Man in the Iron Mask, The",1998,Action Drama Romance
120,Star Trek VI: The Undiscovered Country,1991,Action Adventure Sci-Fi
121,Enemy of the State,1998,Action Thriller
122,Key Largo,1948,Crime Drama Film-Noir Thriller
123,"Thin Red Line, The",1998,Action Drama War
124,Dances with Wolves,1990,Adventure Drama Western
125,Star Wars: Episode V - The Empire Strikes Back,1980,Action Adventure Drama Sci-Fi War
126,Con Air,1997,Action Adventure Thriller
127,Twister,1996,Action Adventure Romance Thriller
128,Raiders of the Lost Ark,1981,Action Adventure
