epoch,hit@1,hit@10,hit@20,hit@50,mrr@1,mrr@10,mrr@20,mrr@50,ndcg@1,ndcg@10,ndcg@20,ndcg@50,precision@1,precision@10,precision@20,precision@50,recall@1,recall@10,recall@20,recall@50,train_loss,valid_score
0,0.0061,0.0523,0.0929,0.1813,0.0061,0.0167,0.0194,0.0221,0.0061,0.0249,0.0349,0.0523,0.0061,0.0052,0.0046,0.0036,0.0061,0.0523,0.0929,0.1813,3567.1793,0.0249
1,0.0152,0.1179,0.1929,0.3411,0.0152,0.0394,0.0445,0.0491,0.0152,0.0575,0.0764,0.1056,0.0152,0.0118,0.0096,0.0068,0.0152,0.1179,0.1929,0.3411,3176.7224,0.0575
2,0.0224,0.1556,0.2465,0.4068,0.0224,0.0542,0.0605,0.0655,0.0224,0.0777,0.1007,0.1323,0.0224,0.0156,0.0123,0.0081,0.0224,0.1556,0.2465,0.4068,2963.7265,0.0777
3,0.027,0.1765,0.2796,0.4517,0.027,0.063,0.07,0.0754,0.027,0.0892,0.1151,0.1491,0.027,0.0176,0.014,0.009,0.027,0.1765,0.2796,0.4517,2861.3818,0.0892
4,0.029,0.1927,0.301,0.4753,0.029,0.0681,0.0756,0.0811,0.029,0.0969,0.1242,0.1588,0.029,0.0193,0.015,0.0095,0.029,0.1927,0.301,0.4753,2799.1679,0.0969
5,0.0267,0.1997,0.3131,0.4945,0.0267,0.0693,0.077,0.0829,0.0267,0.0996,0.1281,0.1641,0.0267,0.02,0.0157,0.0099,0.0267,0.1997,0.3131,0.4945,2756.0301,0.0996
6,0.0272,0.2141,0.3298,0.5022,0.0272,0.0738,0.0818,0.0873,0.0272,0.1065,0.1357,0.1699,0.0272,0.0214,0.0165,0.01,0.0272,0.2141,0.3298,0.5022,2723.7139,0.1065
7,0.0296,0.2247,0.3374,0.5094,0.0296,0.0768,0.0846,0.0901,0.0296,0.1111,0.1395,0.1737,0.0296,0.0225,0.0169,0.0102,0.0296,0.2247,0.3374,0.5094,2699.1382,0.1111
8,0.0286,0.227,0.3495,0.5177,0.0286,0.0771,0.0856,0.091,0.0286,0.1119,0.1428,0.1763,0.0286,0.0227,0.0175,0.0104,0.0286,0.227,0.3495,0.5177,2679.3435,0.1119
9,0.0339,0.2334,0.3477,0.5237,0.0339,0.0818,0.0897,0.0954,0.0339,0.1169,0.1458,0.1809,0.0339,0.0233,0.0174,0.0105,0.0339,0.2334,0.3477,0.5237,2663.1822,0.1169
10,0.0326,0.2343,0.3541,0.5305,0.0326,0.0834,0.0916,0.0972,0.0326,0.1185,0.1488,0.1838,0.0326,0.0234,0.0177,0.0106,0.0326,0.2343,0.3541,0.5305,2649.3458,0.1185
11,0.0382,0.2414,0.3584,0.5329,0.0382,0.0886,0.0966,0.1021,0.0382,0.1241,0.1535,0.1882,0.0382,0.0241,0.0179,0.0107,0.0382,0.2414,0.3584,0.5329,2636.4285,0.1241
12,0.0354,0.2469,0.3636,0.5397,0.0354,0.0888,0.0969,0.1026,0.0354,0.1256,0.1551,0.1902,0.0354,0.0247,0.0182,0.0108,0.0354,0.2469,0.3636,0.5397,2623.9119,0.1256
13,0.0382,0.2512,0.3697,0.5402,0.0382,0.0907,0.0989,0.1044,0.0382,0.128,0.1579,0.1918,0.0382,0.0251,0.0185,0.0108,0.0382,0.2512,0.3697,0.5402,2611.3301,0.128
