{'loss': 236.6181, 'learning_rate': 4.6666666666666665e-05, 'epoch': 0.2}
{'loss': 263.2595, 'learning_rate': 9.333333333333333e-05, 'epoch': 0.4}
{'loss': 125.3895, 'learning_rate': 0.00014000000000000001, 'epoch': 0.6}
{'loss': 63.5068, 'learning_rate': 0.00018666666666666666, 'epoch': 0.8}
{'loss': 50.0764, 'learning_rate': 0.00023333333333333333, 'epoch': 1.0}
{'loss': 31.7738, 'learning_rate': 0.00028000000000000003, 'epoch': 1.2}
{'loss': 26.0157, 'learning_rate': 0.0003266666666666667, 'epoch': 1.4}
{'loss': 17.885, 'learning_rate': 0.0003733333333333333, 'epoch': 1.6}
{'loss': 23.8351, 'learning_rate': 0.00041999999999999996, 'epoch': 1.8}
{'loss': 15.2825, 'learning_rate': 0.00046666666666666666, 'epoch': 2.0}
{'eval_loss': 6.3153910636901855, 'eval_runtime': 5.4753, 'eval_samples_per_second': 8.767, 'eval_steps_per_second': 0.183, 'epoch': 2.0}
{'loss': 14.9998, 'learning_rate': 0.0005133333333333333, 'epoch': 2.2}
{'loss': 14.2491, 'learning_rate': 0.0005600000000000001, 'epoch': 2.4}
{'loss': 11.8988, 'learning_rate': 0.0006066666666666667, 'epoch': 2.6}
{'loss': 12.1826, 'learning_rate': 0.0006533333333333333, 'epoch': 2.8}
{'loss': 9.6085, 'learning_rate': 0.0007, 'epoch': 3.0}
{'loss': 7.3995, 'learning_rate': 0.0006948148148148148, 'epoch': 3.2}
{'loss': 7.6285, 'learning_rate': 0.0006896296296296296, 'epoch': 3.4}
{'loss': 6.6091, 'learning_rate': 0.0006844444444444444, 'epoch': 3.6}
{'loss': 6.7264, 'learning_rate': 0.0006792592592592592, 'epoch': 3.8}
{'loss': 6.4729, 'learning_rate': 0.000674074074074074, 'epoch': 4.0}
{'eval_loss': 6.1770710945129395, 'eval_runtime': 6.398, 'eval_samples_per_second': 7.502, 'eval_steps_per_second': 0.156, 'epoch': 4.0}
{'loss': 6.1629, 'learning_rate': 0.0006688888888888889, 'epoch': 4.2}
{'loss': 6.4301, 'learning_rate': 0.0006637037037037037, 'epoch': 4.4}
{'loss': 6.5009, 'learning_rate': 0.0006585185185185186, 'epoch': 4.6}
{'loss': 6.3651, 'learning_rate': 0.0006533333333333333, 'epoch': 4.8}
{'loss': 6.2936, 'learning_rate': 0.0006481481481481481, 'epoch': 5.0}
{'loss': 6.3606, 'learning_rate': 0.0006429629629629629, 'epoch': 5.2}
{'loss': 6.1807, 'learning_rate': 0.0006377777777777778, 'epoch': 5.4}
{'loss': 6.4596, 'learning_rate': 0.0006325925925925926, 'epoch': 5.6}
