{'loss': 3.6475, 'learning_rate': 0.00012586712436530074, 'epoch': 0.94}
{'loss': 3.6258, 'learning_rate': 0.00012658227848101267, 'epoch': 0.95}
{'loss': 3.6777, 'learning_rate': 0.0001272974325967246, 'epoch': 0.95}
{'loss': 3.5447, 'learning_rate': 0.00012801258671243655, 'epoch': 0.96}
{'loss': 3.5315, 'learning_rate': 0.00012872774082814848, 'epoch': 0.97}
{'loss': 3.616, 'learning_rate': 0.0001294428949438604, 'epoch': 0.97}
{'loss': 3.5109, 'learning_rate': 0.00013015804905957233, 'epoch': 0.98}
{'loss': 3.5251, 'learning_rate': 0.0001308732031752843, 'epoch': 0.98}
{'loss': 3.4701, 'learning_rate': 0.00013158835729099622, 'epoch': 0.99}
{'loss': 3.4735, 'learning_rate': 0.00013230351140670817, 'epoch': 0.99}
{'loss': 3.3846, 'learning_rate': 0.00013301866552242007, 'epoch': 1.0}
{'loss': 4.0651, 'learning_rate': 0.00013373381963813203, 'epoch': 1.0}
{'loss': 4.5024, 'learning_rate': 0.00013444897375384395, 'epoch': 1.01}
{'loss': 4.4738, 'learning_rate': 0.0001351641278695559, 'epoch': 1.01}
{'loss': 4.3174, 'learning_rate': 0.00013587928198526784, 'epoch': 1.02}
{'loss': 4.3635, 'learning_rate': 0.00013659443610097976, 'epoch': 1.02}
{'loss': 4.2466, 'learning_rate': 0.0001373095902166917, 'epoch': 1.03}
{'loss': 4.3662, 'learning_rate': 0.00013802474433240365, 'epoch': 1.04}
{'loss': 4.2488, 'learning_rate': 0.00013873989844811557, 'epoch': 1.04}
{'loss': 4.3501, 'learning_rate': 0.0001394550525638275, 'epoch': 1.05}
{'loss': 4.1657, 'learning_rate': 0.00014017020667953943, 'epoch': 1.05}
{'loss': 4.1878, 'learning_rate': 0.00014088536079525139, 'epoch': 1.06}
{'loss': 4.2228, 'learning_rate': 0.0001416005149109633, 'epoch': 1.06}
{'loss': 4.1122, 'learning_rate': 0.00014231566902667527, 'epoch': 1.07}
{'loss': 4.0852, 'learning_rate': 0.00014303082314238717, 'epoch': 1.07}
{'eval_loss': 4.590238571166992, 'eval_runtime': 11790.3723, 'eval_samples_per_second': 8.232, 'eval_steps_per_second': 0.021, 'epoch': 1.07}
{'loss': 4.1669, 'learning_rate': 0.00014374597725809912, 'epoch': 1.08}
{'loss': 4.145, 'learning_rate': 0.00014446113137381105, 'epoch': 1.08}
{'loss': 4.0558, 'learning_rate': 0.000145176285489523, 'epoch': 1.09}
{'loss': 4.1827, 'learning_rate': 0.00014589143960523493, 'epoch': 1.09}
{'loss': 4.1149, 'learning_rate': 0.00014660659372094686, 'epoch': 1.1}
{'loss': 4.2257, 'learning_rate': 0.0001473217478366588, 'epoch': 1.1}
{'loss': 4.1875, 'learning_rate': 0.00014803690195237075, 'epoch': 1.11}
{'loss': 4.227, 'learning_rate': 0.00014875205606808267, 'epoch': 1.12}
{'loss': 4.2307, 'learning_rate': 0.00014946721018379463, 'epoch': 1.12}
{'loss': 4.2284, 'learning_rate': 0.00015018236429950656, 'epoch': 1.13}
{'loss': 4.2362, 'learning_rate': 0.00015089751841521848, 'epoch': 1.13}
{'loss': 4.2254, 'learning_rate': 0.00015161267253093044, 'epoch': 1.14}
