{'loss': 79.0997, 'learning_rate': 9.168303863785199e-06, 'epoch': 0.04}
{'loss': 9.6177, 'learning_rate': 1.8336607727570398e-05, 'epoch': 0.08}
{'loss': 6.2995, 'learning_rate': 2.75049115913556e-05, 'epoch': 0.12}
{'loss': 6.0479, 'learning_rate': 3.6673215455140795e-05, 'epoch': 0.16}
{'loss': 5.9572, 'learning_rate': 4.5841519318926e-05, 'epoch': 0.2}
{'loss': 5.9233, 'learning_rate': 5.50098231827112e-05, 'epoch': 0.24}
{'loss': 5.9107, 'learning_rate': 6.41781270464964e-05, 'epoch': 0.28}
{'loss': 5.8469, 'learning_rate': 7.334643091028159e-05, 'epoch': 0.31}
{'loss': 5.7783, 'learning_rate': 8.25147347740668e-05, 'epoch': 0.35}
{'loss': 5.7386, 'learning_rate': 9.1683038637852e-05, 'epoch': 0.39}
{'loss': 5.6586, 'learning_rate': 0.00010085134250163719, 'epoch': 0.43}
{'loss': 5.5874, 'learning_rate': 0.0001100196463654224, 'epoch': 0.47}
{'loss': 5.4646, 'learning_rate': 0.0001191879502292076, 'epoch': 0.51}
{'loss': 5.3815, 'learning_rate': 0.0001283562540929928, 'epoch': 0.55}
{'loss': 5.2599, 'learning_rate': 0.00013752455795677798, 'epoch': 0.59}
{'loss': 5.2092, 'learning_rate': 0.00014669286182056318, 'epoch': 0.63}
{'loss': 5.1824, 'learning_rate': 0.0001558611656843484, 'epoch': 0.67}
{'loss': 5.1283, 'learning_rate': 0.0001650294695481336, 'epoch': 0.71}
{'loss': 5.0149, 'learning_rate': 0.00017419777341191878, 'epoch': 0.75}
{'loss': 4.9644, 'learning_rate': 0.000183366077275704, 'epoch': 0.79}
{'loss': 5.0079, 'learning_rate': 0.0001925343811394892, 'epoch': 0.83}
{'loss': 4.8697, 'learning_rate': 0.00020170268500327437, 'epoch': 0.86}
{'loss': 4.7427, 'learning_rate': 0.00021087098886705957, 'epoch': 0.9}
{'loss': 4.7321, 'learning_rate': 0.0002200392927308448, 'epoch': 0.94}
{'loss': 4.7167, 'learning_rate': 0.00022920759659463, 'epoch': 0.98}
{'loss': 4.7415, 'learning_rate': 0.0002383759004584152, 'epoch': 1.02}
{'loss': 4.6216, 'learning_rate': 0.0002475442043222004, 'epoch': 1.06}
{'loss': 4.6341, 'learning_rate': 0.0002567125081859856, 'epoch': 1.1}
{'loss': 4.6206, 'learning_rate': 0.0002658808120497708, 'epoch': 1.14}
{'loss': 4.5906, 'learning_rate': 0.00027504911591355596, 'epoch': 1.18}
{'loss': 4.5781, 'learning_rate': 0.00028421741977734116, 'epoch': 1.22}
{'loss': 4.5404, 'learning_rate': 0.00029338572364112636, 'epoch': 1.26}
{'loss': 4.4766, 'learning_rate': 0.00030255402750491156, 'epoch': 1.3}
{'loss': 4.411, 'learning_rate': 0.0003117223313686968, 'epoch': 1.34}
{'loss': 4.3854, 'learning_rate': 0.000320890635232482, 'epoch': 1.38}
{'loss': 4.3868, 'learning_rate': 0.0003300589390962672, 'epoch': 1.41}
{'loss': 4.4476, 'learning_rate': 0.0003392272429600524, 'epoch': 1.45}
{'loss': 4.3627, 'learning_rate': 0.00034839554682383755, 'epoch': 1.49}
{'loss': 4.3821, 'learning_rate': 0.00035756385068762275, 'epoch': 1.53}
{'loss': 4.3213, 'learning_rate': 0.000366732154551408, 'epoch': 1.57}
{'loss': 4.2843, 'learning_rate': 0.0003759004584151932, 'epoch': 1.61}
{'loss': 4.2203, 'learning_rate': 0.0003850687622789784, 'epoch': 1.65}
{'loss': 4.1636, 'learning_rate': 0.0003942370661427636, 'epoch': 1.69}
{'loss': 4.2092, 'learning_rate': 0.00040340537000654875, 'epoch': 1.73}
{'loss': 4.1188, 'learning_rate': 0.000412573673870334, 'epoch': 1.77}
{'loss': 4.205, 'learning_rate': 0.00042174197773411914, 'epoch': 1.81}
{'loss': 4.2547, 'learning_rate': 0.0004309102815979044, 'epoch': 1.85}
{'loss': 4.0668, 'learning_rate': 0.0004400785854616896, 'epoch': 1.89}
{'loss': 4.0785, 'learning_rate': 0.0004492468893254748, 'epoch': 1.93}
{'loss': 4.1757, 'learning_rate': 0.00045841519318926, 'epoch': 1.96}
{'eval_loss': 4.604642868041992, 'eval_runtime': 52.3181, 'eval_samples_per_second': 14.679, 'eval_steps_per_second': 0.038, 'epoch': 1.96}
{'loss': 4.1418, 'learning_rate': 0.00046758349705304514, 'epoch': 2.0}
{'loss': 4.1782, 'learning_rate': 0.0004767518009168304, 'epoch': 2.04}
{'loss': 4.1591, 'learning_rate': 0.00048592010478061554, 'epoch': 2.08}
{'loss': 4.197, 'learning_rate': 0.0004950884086444008, 'epoch': 2.12}
{'loss': 4.1408, 'learning_rate': 0.0005042567125081859, 'epoch': 2.16}
{'loss': 4.1798, 'learning_rate': 0.0005134250163719712, 'epoch': 2.2}
{'loss': 4.1224, 'learning_rate': 0.0005225933202357563, 'epoch': 2.24}
{'loss': 4.0946, 'learning_rate': 0.0005317616240995416, 'epoch': 2.28}
{'loss': 4.084, 'learning_rate': 0.0005409299279633267, 'epoch': 2.32}
{'loss': 3.9724, 'learning_rate': 0.0005500982318271119, 'epoch': 2.36}
{'loss': 4.0562, 'learning_rate': 0.0005592665356908972, 'epoch': 2.4}
{'loss': 4.0653, 'learning_rate': 0.0005684348395546823, 'epoch': 2.44}
{'loss': 4.0709, 'learning_rate': 0.0005776031434184676, 'epoch': 2.48}
{'loss': 3.9785, 'learning_rate': 0.0005867714472822527, 'epoch': 2.51}
{'loss': 4.0773, 'learning_rate': 0.000595939751146038, 'epoch': 2.55}
{'loss': 3.9636, 'learning_rate': 0.0006051080550098231, 'epoch': 2.59}
{'loss': 3.8985, 'learning_rate': 0.0006142763588736084, 'epoch': 2.63}
{'loss': 3.8855, 'learning_rate': 0.0006234446627373936, 'epoch': 2.67}
{'loss': 3.9488, 'learning_rate': 0.0006326129666011787, 'epoch': 2.71}
{'loss': 3.8428, 'learning_rate': 0.000641781270464964, 'epoch': 2.75}
{'loss': 3.8754, 'learning_rate': 0.0006509495743287491, 'epoch': 2.79}
{'loss': 3.9862, 'learning_rate': 0.0006601178781925344, 'epoch': 2.83}
{'loss': 3.8389, 'learning_rate': 0.0006692861820563195, 'epoch': 2.87}
{'loss': 3.7767, 'learning_rate': 0.0006784544859201048, 'epoch': 2.91}
{'loss': 3.8633, 'learning_rate': 0.00068762278978389, 'epoch': 2.95}
{'loss': 3.9489, 'learning_rate': 0.0006967910936476751, 'epoch': 2.99}
{'loss': 4.0158, 'learning_rate': 0.0006993378447209489, 'epoch': 3.03}
{'loss': 3.9459, 'learning_rate': 0.0006983191442916394, 'epoch': 3.06}
{'loss': 3.9642, 'learning_rate': 0.0006973004438623299, 'epoch': 3.1}
{'loss': 3.9241, 'learning_rate': 0.0006962817434330204, 'epoch': 3.14}
{'loss': 3.9106, 'learning_rate': 0.000695263043003711, 'epoch': 3.18}
{'loss': 3.9049, 'learning_rate': 0.0006942443425744016, 'epoch': 3.22}
{'loss': 3.8251, 'learning_rate': 0.0006932256421450921, 'epoch': 3.26}
{'loss': 3.8116, 'learning_rate': 0.0006922069417157826, 'epoch': 3.3}
{'loss': 3.7785, 'learning_rate': 0.0006911882412864731, 'epoch': 3.34}
{'loss': 3.7305, 'learning_rate': 0.0006901695408571637, 'epoch': 3.38}
{'loss': 3.7039, 'learning_rate': 0.0006891508404278542, 'epoch': 3.42}
{'loss': 3.7996, 'learning_rate': 0.0006881321399985447, 'epoch': 3.46}
{'loss': 3.6436, 'learning_rate': 0.0006871134395692352, 'epoch': 3.5}
{'loss': 3.7166, 'learning_rate': 0.0006860947391399257, 'epoch': 3.54}
{'loss': 3.6395, 'learning_rate': 0.0006850760387106163, 'epoch': 3.58}
{'loss': 3.5314, 'learning_rate': 0.0006840573382813068, 'epoch': 3.61}
{'loss': 3.5582, 'learning_rate': 0.0006830386378519973, 'epoch': 3.65}
{'loss': 3.5637, 'learning_rate': 0.0006820199374226878, 'epoch': 3.69}
{'loss': 3.5866, 'learning_rate': 0.0006810012369933784, 'epoch': 3.73}
{'loss': 3.524, 'learning_rate': 0.000679982536564069, 'epoch': 3.77}
{'loss': 3.5578, 'learning_rate': 0.0006789638361347595, 'epoch': 3.81}
{'loss': 3.5999, 'learning_rate': 0.00067794513570545, 'epoch': 3.85}
{'loss': 3.4323, 'learning_rate': 0.0006769264352761405, 'epoch': 3.89}
{'loss': 3.4386, 'learning_rate': 0.0006759077348468312, 'epoch': 3.93}
{'eval_loss': 4.458861351013184, 'eval_runtime': 43.3119, 'eval_samples_per_second': 17.732, 'eval_steps_per_second': 0.046, 'epoch': 3.93}
{'loss': 3.8146, 'learning_rate': 0.0006748890344175217, 'epoch': 3.97}
{'loss': 3.8201, 'learning_rate': 0.0006738703339882122, 'epoch': 4.01}
{'loss': 3.7786, 'learning_rate': 0.0006728516335589027, 'epoch': 4.05}
{'loss': 3.7765, 'learning_rate': 0.0006718329331295933, 'epoch': 4.09}
{'loss': 3.7971, 'learning_rate': 0.0006708142327002838, 'epoch': 4.13}
{'loss': 3.6718, 'learning_rate': 0.0006697955322709743, 'epoch': 4.17}
{'loss': 3.7545, 'learning_rate': 0.0006687768318416648, 'epoch': 4.2}
{'loss': 3.666, 'learning_rate': 0.0006677581314123553, 'epoch': 4.24}
{'loss': 3.6124, 'learning_rate': 0.0006667394309830459, 'epoch': 4.28}
{'loss': 3.6157, 'learning_rate': 0.0006657207305537364, 'epoch': 4.32}
{'loss': 3.4036, 'learning_rate': 0.0006647020301244269, 'epoch': 4.36}
{'loss': 3.415, 'learning_rate': 0.0006636833296951175, 'epoch': 4.4}
{'loss': 3.5154, 'learning_rate': 0.0006626646292658081, 'epoch': 4.44}
{'loss': 3.4474, 'learning_rate': 0.0006616459288364986, 'epoch': 4.48}
{'loss': 3.4324, 'learning_rate': 0.0006606272284071891, 'epoch': 4.52}
{'loss': 3.5318, 'learning_rate': 0.0006596085279778796, 'epoch': 4.56}
{'loss': 3.3711, 'learning_rate': 0.0006585898275485701, 'epoch': 4.6}
{'loss': 3.3255, 'learning_rate': 0.0006575711271192607, 'epoch': 4.64}
{'loss': 3.3673, 'learning_rate': 0.0006565524266899512, 'epoch': 4.68}
{'loss': 3.4892, 'learning_rate': 0.0006555337262606418, 'epoch': 4.72}
{'loss': 3.349, 'learning_rate': 0.0006545150258313323, 'epoch': 4.75}
{'loss': 3.3784, 'learning_rate': 0.0006534963254020229, 'epoch': 4.79}
{'loss': 3.446, 'learning_rate': 0.0006524776249727134, 'epoch': 4.83}
{'loss': 3.2983, 'learning_rate': 0.0006514589245434039, 'epoch': 4.87}
{'loss': 3.291, 'learning_rate': 0.0006504402241140944, 'epoch': 4.91}
{'loss': 3.4816, 'learning_rate': 0.000649421523684785, 'epoch': 4.95}
