{'loss': 169.9139, 'learning_rate': 2.282714147120927e-06, 'epoch': 0.02}
{'loss': 35.0283, 'learning_rate': 4.565428294241854e-06, 'epoch': 0.03}
{'loss': 15.135, 'learning_rate': 6.84814244136278e-06, 'epoch': 0.05}
{'loss': 7.3452, 'learning_rate': 9.130856588483708e-06, 'epoch': 0.07}
{'loss': 6.3568, 'learning_rate': 1.1413570735604635e-05, 'epoch': 0.09}
{'loss': 6.2273, 'learning_rate': 1.369628488272556e-05, 'epoch': 0.1}
{'loss': 6.0793, 'learning_rate': 1.5978999029846488e-05, 'epoch': 0.12}
{'loss': 5.9964, 'learning_rate': 1.8261713176967416e-05, 'epoch': 0.14}
{'loss': 5.9584, 'learning_rate': 2.054442732408834e-05, 'epoch': 0.15}
{'loss': 5.9239, 'learning_rate': 2.282714147120927e-05, 'epoch': 0.17}
{'loss': 5.9068, 'learning_rate': 2.5109855618330198e-05, 'epoch': 0.19}
{'loss': 5.8587, 'learning_rate': 2.739256976545112e-05, 'epoch': 0.21}
{'loss': 5.8005, 'learning_rate': 2.967528391257205e-05, 'epoch': 0.22}
{'loss': 5.6457, 'learning_rate': 3.1957998059692976e-05, 'epoch': 0.24}
{'loss': 5.5085, 'learning_rate': 3.42407122068139e-05, 'epoch': 0.26}
{'loss': 5.4417, 'learning_rate': 3.652342635393483e-05, 'epoch': 0.27}
{'loss': 5.3892, 'learning_rate': 3.880614050105576e-05, 'epoch': 0.29}
{'loss': 5.3201, 'learning_rate': 4.108885464817668e-05, 'epoch': 0.31}
{'loss': 5.2773, 'learning_rate': 4.3371568795297614e-05, 'epoch': 0.33}
{'loss': 5.2419, 'learning_rate': 4.565428294241854e-05, 'epoch': 0.34}
{'loss': 5.2409, 'learning_rate': 4.7936997089539464e-05, 'epoch': 0.36}
{'loss': 5.2206, 'learning_rate': 5.0219711236660395e-05, 'epoch': 0.38}
{'loss': 5.2181, 'learning_rate': 5.250242538378132e-05, 'epoch': 0.39}
{'loss': 5.2004, 'learning_rate': 5.478513953090224e-05, 'epoch': 0.41}
{'loss': 5.1762, 'learning_rate': 5.706785367802318e-05, 'epoch': 0.43}
{'eval_loss': 5.240542411804199, 'eval_runtime': 7113.6259, 'eval_samples_per_second': 7.206, 'eval_steps_per_second': 0.019, 'epoch': 0.43}
{'loss': 5.1161, 'learning_rate': 5.93505678251441e-05, 'epoch': 0.45}
{'loss': 5.1082, 'learning_rate': 6.163328197226502e-05, 'epoch': 0.46}
{'loss': 5.1131, 'learning_rate': 6.391599611938595e-05, 'epoch': 0.48}
{'loss': 5.1256, 'learning_rate': 6.619871026650688e-05, 'epoch': 0.5}
{'loss': 5.0965, 'learning_rate': 6.84814244136278e-05, 'epoch': 0.51}
{'loss': 5.0837, 'learning_rate': 7.076413856074873e-05, 'epoch': 0.53}
{'loss': 5.0815, 'learning_rate': 7.304685270786966e-05, 'epoch': 0.55}
{'loss': 5.062, 'learning_rate': 7.532956685499058e-05, 'epoch': 0.56}
{'loss': 5.0183, 'learning_rate': 7.761228100211151e-05, 'epoch': 0.58}
{'loss': 5.0031, 'learning_rate': 7.989499514923245e-05, 'epoch': 0.6}
{'loss': 5.0049, 'learning_rate': 8.217770929635336e-05, 'epoch': 0.62}
{'loss': 4.9939, 'learning_rate': 8.44604234434743e-05, 'epoch': 0.63}
{'loss': 4.9812, 'learning_rate': 8.674313759059523e-05, 'epoch': 0.65}
{'loss': 5.0107, 'learning_rate': 8.902585173771615e-05, 'epoch': 0.67}
{'loss': 4.9571, 'learning_rate': 9.130856588483708e-05, 'epoch': 0.68}
{'loss': 4.9338, 'learning_rate': 9.359128003195801e-05, 'epoch': 0.7}
{'loss': 4.9284, 'learning_rate': 9.587399417907893e-05, 'epoch': 0.72}
{'loss': 4.9045, 'learning_rate': 9.815670832619986e-05, 'epoch': 0.74}
{'loss': 4.9311, 'learning_rate': 0.00010043942247332079, 'epoch': 0.75}
{'loss': 4.8762, 'learning_rate': 0.0001027221366204417, 'epoch': 0.77}
{'loss': 4.8472, 'learning_rate': 0.00010500485076756264, 'epoch': 0.79}
{'loss': 4.8522, 'learning_rate': 0.00010728756491468357, 'epoch': 0.8}
{'loss': 4.8149, 'learning_rate': 0.00010957027906180448, 'epoch': 0.82}
{'loss': 4.8107, 'learning_rate': 0.00011185299320892542, 'epoch': 0.84}
{'loss': 4.7926, 'learning_rate': 0.00011413570735604635, 'epoch': 0.86}
{'eval_loss': 5.12581729888916, 'eval_runtime': 7357.4529, 'eval_samples_per_second': 6.968, 'eval_steps_per_second': 0.018, 'epoch': 0.86}
{'loss': 4.7748, 'learning_rate': 0.00011641842150316726, 'epoch': 0.87}
{'loss': 4.7517, 'learning_rate': 0.0001187011356502882, 'epoch': 0.89}
{'loss': 4.7222, 'learning_rate': 0.00012098384979740914, 'epoch': 0.91}
{'loss': 4.6933, 'learning_rate': 0.00012326656394453004, 'epoch': 0.92}
{'loss': 4.6585, 'learning_rate': 0.00012554927809165097, 'epoch': 0.94}
{'loss': 4.6075, 'learning_rate': 0.0001278319922387719, 'epoch': 0.96}
{'loss': 4.5557, 'learning_rate': 0.00013011470638589283, 'epoch': 0.98}
{'loss': 4.4799, 'learning_rate': 0.00013239742053301377, 'epoch': 0.99}
{'loss': 4.792, 'learning_rate': 0.0001346801346801347, 'epoch': 1.01}
{'loss': 4.8552, 'learning_rate': 0.0001369628488272556, 'epoch': 1.03}
{'loss': 4.7536, 'learning_rate': 0.00013924556297437653, 'epoch': 1.04}
