{'loss': 4.2301, 'learning_rate': 0.00039980470112296857, 'epoch': 3.01}
{'loss': 4.2271, 'learning_rate': 0.0003995510662177329, 'epoch': 3.03}
{'loss': 4.1066, 'learning_rate': 0.0003992974313124973, 'epoch': 3.05}
{'loss': 4.127, 'learning_rate': 0.00039904379640726156, 'epoch': 3.06}
{'loss': 4.1331, 'learning_rate': 0.00039879016150202594, 'epoch': 3.08}
{'loss': 4.1085, 'learning_rate': 0.00039853652659679027, 'epoch': 3.1}
{'loss': 4.1293, 'learning_rate': 0.0003982828916915546, 'epoch': 3.12}
{'loss': 4.1575, 'learning_rate': 0.00039802925678631893, 'epoch': 3.13}
{'loss': 4.2349, 'learning_rate': 0.0003977756218810833, 'epoch': 3.15}
{'loss': 4.1555, 'learning_rate': 0.00039752198697584764, 'epoch': 3.17}
{'loss': 4.2151, 'learning_rate': 0.00039726835207061197, 'epoch': 3.18}
{'loss': 4.2107, 'learning_rate': 0.00039701471716537635, 'epoch': 3.2}
{'loss': 4.1761, 'learning_rate': 0.0003967610822601406, 'epoch': 3.22}
{'loss': 4.1875, 'learning_rate': 0.000396507447354905, 'epoch': 3.24}
{'loss': 4.2015, 'learning_rate': 0.00039625381244966934, 'epoch': 3.25}
{'loss': 4.2366, 'learning_rate': 0.0003960001775444337, 'epoch': 3.27}
{'loss': 4.2152, 'learning_rate': 0.000395746542639198, 'epoch': 3.29}
{'loss': 4.2051, 'learning_rate': 0.0003954929077339624, 'epoch': 3.3}
{'loss': 4.2042, 'learning_rate': 0.0003952392728287267, 'epoch': 3.32}
{'loss': 4.2147, 'learning_rate': 0.00039498563792349104, 'epoch': 3.34}
{'loss': 4.2364, 'learning_rate': 0.00039473200301825537, 'epoch': 3.36}
{'loss': 4.2777, 'learning_rate': 0.00039447836811301975, 'epoch': 3.37}
{'loss': 4.2604, 'learning_rate': 0.0003942247332077841, 'epoch': 3.39}
{'loss': 4.3041, 'learning_rate': 0.0003939710983025484, 'epoch': 3.41}
{'loss': 4.3179, 'learning_rate': 0.0003937174633973128, 'epoch': 3.42}
{'eval_loss': 4.522826671600342, 'eval_runtime': 6403.4905, 'eval_samples_per_second': 8.006, 'eval_steps_per_second': 0.021, 'epoch': 3.42}
{'loss': 4.2233, 'learning_rate': 0.00039346382849207706, 'epoch': 3.44}
{'loss': 4.2557, 'learning_rate': 0.00039321019358684145, 'epoch': 3.46}
{'loss': 4.2741, 'learning_rate': 0.0003929565586816058, 'epoch': 3.48}
{'loss': 4.343, 'learning_rate': 0.0003927029237763701, 'epoch': 3.49}
{'loss': 4.3047, 'learning_rate': 0.00039244928887113443, 'epoch': 3.51}
{'loss': 4.2976, 'learning_rate': 0.0003921956539658988, 'epoch': 3.53}
{'loss': 4.3087, 'learning_rate': 0.00039194201906066315, 'epoch': 3.54}
{'loss': 4.3398, 'learning_rate': 0.0003916883841554275, 'epoch': 3.56}
{'loss': 4.2724, 'learning_rate': 0.00039143474925019186, 'epoch': 3.58}
{'loss': 4.2772, 'learning_rate': 0.0003911811143449562, 'epoch': 3.6}
{'loss': 4.2955, 'learning_rate': 0.0003909274794397205, 'epoch': 3.61}
{'loss': 4.309, 'learning_rate': 0.00039067384453448484, 'epoch': 3.63}
{'loss': 4.2995, 'learning_rate': 0.00039042020962924923, 'epoch': 3.65}
{'loss': 4.2883, 'learning_rate': 0.0003901665747240135, 'epoch': 3.66}
{'loss': 4.3017, 'learning_rate': 0.0003899129398187779, 'epoch': 3.68}
{'loss': 4.2519, 'learning_rate': 0.0003896593049135422, 'epoch': 3.7}
{'loss': 4.2488, 'learning_rate': 0.00038940567000830654, 'epoch': 3.72}
{'loss': 4.266, 'learning_rate': 0.0003891520351030709, 'epoch': 3.73}
{'loss': 4.2815, 'learning_rate': 0.00038889840019783525, 'epoch': 3.75}
{'loss': 4.2535, 'learning_rate': 0.0003886447652925996, 'epoch': 3.77}
{'loss': 4.1762, 'learning_rate': 0.0003883911303873639, 'epoch': 3.78}
{'loss': 4.0884, 'learning_rate': 0.0003881374954821283, 'epoch': 3.8}
{'loss': 4.1353, 'learning_rate': 0.0003878838605768926, 'epoch': 3.82}
{'loss': 4.189, 'learning_rate': 0.00038763022567165695, 'epoch': 3.83}
{'loss': 4.2113, 'learning_rate': 0.0003873765907664213, 'epoch': 3.85}
{'eval_loss': 4.825170993804932, 'eval_runtime': 6398.1106, 'eval_samples_per_second': 8.012, 'eval_steps_per_second': 0.021, 'epoch': 3.85}
{'loss': 4.1917, 'learning_rate': 0.00038712295586118567, 'epoch': 3.87}
{'loss': 4.033, 'learning_rate': 0.00038686932095594994, 'epoch': 3.89}
{'loss': 4.0766, 'learning_rate': 0.0003866156860507143, 'epoch': 3.9}
{'loss': 4.1141, 'learning_rate': 0.00038636205114547865, 'epoch': 3.92}
{'loss': 4.061, 'learning_rate': 0.000386108416240243, 'epoch': 3.94}
{'loss': 3.9115, 'learning_rate': 0.00038585478133500736, 'epoch': 3.95}
{'loss': 3.7915, 'learning_rate': 0.0003856011464297717, 'epoch': 3.97}
{'loss': 3.7459, 'learning_rate': 0.000385347511524536, 'epoch': 3.99}
{'loss': 3.9491, 'learning_rate': 0.00038509387661930035, 'epoch': 4.01}
{'loss': 4.0312, 'learning_rate': 0.00038484024171406473, 'epoch': 4.02}
{'loss': 3.9977, 'learning_rate': 0.000384586606808829, 'epoch': 4.04}
{'loss': 3.9919, 'learning_rate': 0.0003843329719035934, 'epoch': 4.06}
{'loss': 3.9743, 'learning_rate': 0.0003840793369983577, 'epoch': 4.07}
{'loss': 3.9898, 'learning_rate': 0.00038382570209312205, 'epoch': 4.09}
{'loss': 3.9606, 'learning_rate': 0.00038357206718788643, 'epoch': 4.11}
{'loss': 4.024, 'learning_rate': 0.00038331843228265076, 'epoch': 4.13}
{'loss': 4.0648, 'learning_rate': 0.00038306479737741514, 'epoch': 4.14}
{'loss': 4.0756, 'learning_rate': 0.0003828111624721794, 'epoch': 4.16}
{'loss': 4.06, 'learning_rate': 0.0003825575275669438, 'epoch': 4.18}
{'loss': 4.0909, 'learning_rate': 0.00038230389266170813, 'epoch': 4.19}
{'loss': 4.0758, 'learning_rate': 0.00038205025775647246, 'epoch': 4.21}
{'loss': 4.0684, 'learning_rate': 0.0003817966228512368, 'epoch': 4.23}
{'loss': 4.069, 'learning_rate': 0.00038154298794600117, 'epoch': 4.25}
{'loss': 4.0976, 'learning_rate': 0.0003812893530407655, 'epoch': 4.26}
{'loss': 4.1027, 'learning_rate': 0.00038103571813552983, 'epoch': 4.28}
{'eval_loss': 4.481375694274902, 'eval_runtime': 6342.0606, 'eval_samples_per_second': 8.083, 'eval_steps_per_second': 0.021, 'epoch': 4.28}
{'loss': 4.0915, 'learning_rate': 0.00038078208323029416, 'epoch': 4.3}
{'loss': 4.1044, 'learning_rate': 0.0003805284483250585, 'epoch': 4.31}
{'loss': 4.0941, 'learning_rate': 0.00038027481341982287, 'epoch': 4.33}
{'loss': 4.1117, 'learning_rate': 0.0003800211785145872, 'epoch': 4.35}
{'loss': 4.1621, 'learning_rate': 0.00037976754360935153, 'epoch': 4.37}
{'loss': 4.1793, 'learning_rate': 0.00037951390870411586, 'epoch': 4.38}
{'loss': 4.1639, 'learning_rate': 0.00037926027379888024, 'epoch': 4.4}
{'loss': 4.2372, 'learning_rate': 0.00037900663889364457, 'epoch': 4.42}
{'loss': 4.1633, 'learning_rate': 0.0003787530039884089, 'epoch': 4.43}
{'loss': 4.1248, 'learning_rate': 0.0003784993690831732, 'epoch': 4.45}
{'loss': 4.1651, 'learning_rate': 0.0003782457341779376, 'epoch': 4.47}
{'loss': 4.2076, 'learning_rate': 0.00037799209927270194, 'epoch': 4.49}
{'loss': 4.2402, 'learning_rate': 0.00037773846436746627, 'epoch': 4.5}
{'loss': 4.1813, 'learning_rate': 0.00037748482946223065, 'epoch': 4.52}
{'loss': 4.2063, 'learning_rate': 0.0003772311945569949, 'epoch': 4.54}
{'loss': 4.2205, 'learning_rate': 0.0003769775596517593, 'epoch': 4.55}
{'loss': 4.2145, 'learning_rate': 0.00037672392474652364, 'epoch': 4.57}
{'loss': 4.1496, 'learning_rate': 0.00037647028984128797, 'epoch': 4.59}
{'loss': 4.1776, 'learning_rate': 0.0003762166549360523, 'epoch': 4.61}
{'loss': 4.2075, 'learning_rate': 0.0003759630200308167, 'epoch': 4.62}
{'loss': 4.2221, 'learning_rate': 0.000375709385125581, 'epoch': 4.64}
{'loss': 4.1774, 'learning_rate': 0.00037545575022034534, 'epoch': 4.66}
{'loss': 4.252, 'learning_rate': 0.0003752021153151097, 'epoch': 4.67}
{'loss': 4.1382, 'learning_rate': 0.000374948480409874, 'epoch': 4.69}
{'loss': 4.1635, 'learning_rate': 0.0003746948455046384, 'epoch': 4.71}
{'eval_loss': 4.612790107727051, 'eval_runtime': 6027.3841, 'eval_samples_per_second': 8.505, 'eval_steps_per_second': 0.022, 'epoch': 4.71}
{'loss': 4.1664, 'learning_rate': 0.0003744412105994027, 'epoch': 4.73}
{'loss': 4.159, 'learning_rate': 0.0003741875756941671, 'epoch': 4.74}
{'loss': 4.212, 'learning_rate': 0.00037393394078893136, 'epoch': 4.76}
{'loss': 4.1111, 'learning_rate': 0.00037368030588369575, 'epoch': 4.78}
{'loss': 3.9923, 'learning_rate': 0.0003734266709784601, 'epoch': 4.79}
{'loss': 4.0386, 'learning_rate': 0.0003731730360732244, 'epoch': 4.81}
{'loss': 4.0639, 'learning_rate': 0.00037291940116798873, 'epoch': 4.83}
{'loss': 4.1319, 'learning_rate': 0.0003726657662627531, 'epoch': 4.85}
{'loss': 4.0955, 'learning_rate': 0.00037241213135751744, 'epoch': 4.86}
{'loss': 4.0134, 'learning_rate': 0.0003721584964522818, 'epoch': 4.88}
{'loss': 3.9199, 'learning_rate': 0.00037190486154704616, 'epoch': 4.9}
{'loss': 4.0497, 'learning_rate': 0.00037165122664181043, 'epoch': 4.91}
{'loss': 3.9968, 'learning_rate': 0.0003713975917365748, 'epoch': 4.93}
{'loss': 3.854, 'learning_rate': 0.00037114395683133914, 'epoch': 4.95}
{'loss': 3.7074, 'learning_rate': 0.00037089032192610347, 'epoch': 4.96}
{'loss': 3.6236, 'learning_rate': 0.0003706366870208678, 'epoch': 4.98}
{'loss': 3.6328, 'learning_rate': 0.0003703830521156322, 'epoch': 5.0}
{'loss': 3.9771, 'learning_rate': 0.0003701294172103965, 'epoch': 5.02}
{'loss': 3.9394, 'learning_rate': 0.00036987578230516084, 'epoch': 5.03}
{'loss': 3.8325, 'learning_rate': 0.0003696221473999252, 'epoch': 5.05}
{'loss': 3.8919, 'learning_rate': 0.00036936851249468955, 'epoch': 5.07}
{'loss': 3.9139, 'learning_rate': 0.0003691148775894539, 'epoch': 5.08}
{'loss': 3.8548, 'learning_rate': 0.0003688612426842182, 'epoch': 5.1}
