{'loss': 133.3159, 'learning_rate': 3.493013972055888e-06, 'epoch': 0.01}
{'loss': 24.9993, 'learning_rate': 6.986027944111776e-06, 'epoch': 0.03}
{'loss': 9.9949, 'learning_rate': 1.0479041916167664e-05, 'epoch': 0.04}
{'loss': 6.4131, 'learning_rate': 1.3972055888223553e-05, 'epoch': 0.06}
{'loss': 6.1725, 'learning_rate': 1.746506986027944e-05, 'epoch': 0.07}
{'loss': 5.997, 'learning_rate': 2.095808383233533e-05, 'epoch': 0.09}
{'loss': 5.7864, 'learning_rate': 2.4451097804391217e-05, 'epoch': 0.1}
{'loss': 5.6478, 'learning_rate': 2.7944111776447106e-05, 'epoch': 0.12}
{'loss': 5.459, 'learning_rate': 3.143712574850299e-05, 'epoch': 0.13}
{'loss': 5.3104, 'learning_rate': 3.493013972055888e-05, 'epoch': 0.15}
{'loss': 5.155, 'learning_rate': 3.842315369261477e-05, 'epoch': 0.16}
{'loss': 5.0469, 'learning_rate': 4.191616766467066e-05, 'epoch': 0.18}
{'loss': 5.0803, 'learning_rate': 4.540918163672654e-05, 'epoch': 0.19}
{'loss': 5.0576, 'learning_rate': 4.8902195608782434e-05, 'epoch': 0.21}
{'loss': 4.9607, 'learning_rate': 5.2395209580838316e-05, 'epoch': 0.22}
{'loss': 4.8693, 'learning_rate': 5.588822355289421e-05, 'epoch': 0.24}
{'loss': 4.8213, 'learning_rate': 5.938123752495009e-05, 'epoch': 0.25}
{'loss': 4.8159, 'learning_rate': 6.287425149700598e-05, 'epoch': 0.27}
{'loss': 4.8099, 'learning_rate': 6.636726546906188e-05, 'epoch': 0.28}
{'loss': 4.7854, 'learning_rate': 6.986027944111776e-05, 'epoch': 0.3}
{'loss': 4.7874, 'learning_rate': 7.335329341317364e-05, 'epoch': 0.31}
{'loss': 4.8815, 'learning_rate': 7.684630738522954e-05, 'epoch': 0.33}
{'loss': 4.8448, 'learning_rate': 8.033932135728542e-05, 'epoch': 0.34}
{'loss': 4.7178, 'learning_rate': 8.383233532934131e-05, 'epoch': 0.36}
{'loss': 4.6579, 'learning_rate': 8.73253493013972e-05, 'epoch': 0.37}
{'loss': 4.6738, 'learning_rate': 9.081836327345308e-05, 'epoch': 0.39}
{'loss': 4.6688, 'learning_rate': 9.431137724550899e-05, 'epoch': 0.4}
{'loss': 4.6867, 'learning_rate': 9.780439121756487e-05, 'epoch': 0.42}
{'loss': 4.6903, 'learning_rate': 0.00010129740518962075, 'epoch': 0.43}
{'loss': 4.7784, 'learning_rate': 0.00010479041916167663, 'epoch': 0.45}
{'loss': 4.7997, 'learning_rate': 0.00010828343313373254, 'epoch': 0.46}
{'loss': 4.6899, 'learning_rate': 0.00011177644710578842, 'epoch': 0.48}
{'loss': 4.63, 'learning_rate': 0.0001152694610778443, 'epoch': 0.49}
{'loss': 4.6294, 'learning_rate': 0.00011876247504990019, 'epoch': 0.51}
{'loss': 4.6232, 'learning_rate': 0.00012225548902195608, 'epoch': 0.52}
{'loss': 4.6143, 'learning_rate': 0.00012574850299401196, 'epoch': 0.54}
{'loss': 4.7638, 'learning_rate': 0.00012924151696606785, 'epoch': 0.55}
{'loss': 4.7401, 'learning_rate': 0.00013273453093812375, 'epoch': 0.57}
{'loss': 4.6614, 'learning_rate': 0.00013622754491017964, 'epoch': 0.58}
{'loss': 4.6314, 'learning_rate': 0.00013972055888223552, 'epoch': 0.6}
{'loss': 4.5972, 'learning_rate': 0.0001432135728542914, 'epoch': 0.61}
{'loss': 4.5501, 'learning_rate': 0.00014670658682634728, 'epoch': 0.63}
{'loss': 4.579, 'learning_rate': 0.0001501996007984032, 'epoch': 0.64}
{'loss': 4.7176, 'learning_rate': 0.00015369261477045907, 'epoch': 0.66}
{'loss': 4.7549, 'learning_rate': 0.00015718562874251495, 'epoch': 0.67}
{'loss': 4.6463, 'learning_rate': 0.00016067864271457084, 'epoch': 0.69}
{'loss': 4.541, 'learning_rate': 0.00016417165668662675, 'epoch': 0.7}
{'loss': 4.5122, 'learning_rate': 0.00016766467065868263, 'epoch': 0.72}
{'loss': 4.499, 'learning_rate': 0.0001711576846307385, 'epoch': 0.73}
{'loss': 4.523, 'learning_rate': 0.0001746506986027944, 'epoch': 0.75}
{'eval_loss': 4.9817399978637695, 'eval_runtime': 6800.5398, 'eval_samples_per_second': 7.948, 'eval_steps_per_second': 0.021, 'epoch': 0.75}
{'loss': 4.5522, 'learning_rate': 0.0001781437125748503, 'epoch': 0.76}
{'loss': 4.6546, 'learning_rate': 0.00018163672654690615, 'epoch': 0.78}
{'loss': 4.7385, 'learning_rate': 0.00018512974051896206, 'epoch': 0.79}
{'loss': 4.6482, 'learning_rate': 0.00018862275449101797, 'epoch': 0.81}
{'loss': 4.6372, 'learning_rate': 0.00019211576846307383, 'epoch': 0.82}
{'loss': 4.5783, 'learning_rate': 0.00019560878243512974, 'epoch': 0.84}
